posting_id,skill
JP128292,SQL
JP128292,Python
JP128292,Azure
JP128292,dbt
JP128292,GenAI
JP136609,SQL
JP136609,Excel
JP136609,Power BI
JP136609,Azure
JP136609,Data Modelling
JP136609,ETL
JP135673,SQL
JP135673,Python
JP135673,Power BI
JP135673,Azure
JP135673,MLOps
JP135673,ETL
JP106274,SQL
JP106274,Excel
JP106274,Power BI
JP106274,Snowflake
JP106274,Databricks
JP106274,GenAI
JP106274,Prompt Engineering
JP106274,A/B Testing
JP106274,Data Modelling
JP126410,Python
JP126410,Excel
JP126410,Power BI
JP126410,Tableau
JP126410,Azure
JP126410,Spark
JP126410,dbt
JP126410,Airflow
JP126410,MLOps
JP126410,ETL
JP109043,SQL
JP109043,Power BI
JP109043,Azure
JP109043,AWS
JP109043,Databricks
JP109043,Spark
JP109043,Airflow
JP109043,Statistics
JP100955,SQL
JP100955,Python
JP100955,Tableau
JP100955,Machine Learning
JP111563,SQL
JP111563,Python
JP111563,Excel
JP111563,Power BI
JP111563,Tableau
JP111563,Airflow
JP111563,MLOps
JP101110,SQL
JP101110,Azure
JP101110,Snowflake
JP101110,Git
JP130403,SQL
JP130403,Excel
JP130403,Azure
JP130403,Snowflake
JP130403,Machine Learning
JP130403,A/B Testing
JP130596,SQL
JP130596,Snowflake
JP130596,Git
JP110986,SQL
JP110986,Python
JP110986,Excel
JP110986,Power BI
JP110986,dbt
JP110986,Git
JP123633,SQL
JP123633,Python
JP123633,Azure
JP123633,Snowflake
JP123633,Spark
JP123633,dbt
JP123633,Machine Learning
JP123633,Statistics
JP123633,Git
JP132617,Python
JP132617,Power BI
JP132617,MLOps
JP132617,Git
JP110800,SQL
JP110800,Python
JP110800,Excel
JP110800,Power BI
JP110800,Tableau
JP110800,GenAI
JP133010,SQL
JP133010,Python
JP133010,Excel
JP133010,Azure
JP133010,Machine Learning
JP133010,LLMs
JP133010,ETL
JP126565,SQL
JP126565,Python
JP126565,Excel
JP126565,Machine Learning
JP126565,LLMs
JP126565,MLOps
JP119167,SQL
JP119167,Python
JP119167,Excel
JP119167,Power BI
JP119167,Azure
JP119167,AWS
JP119167,dbt
JP119167,Data Modelling
JP114558,SQL
JP114558,Python
JP114558,Machine Learning
JP114558,MLOps
JP116630,SQL
JP116630,R
JP116630,Azure
JP116630,AWS
JP116630,Airflow
JP116630,Git
JP130397,SQL
JP130397,Excel
JP130397,Power BI
JP130397,Azure
JP130397,AWS
JP130397,Snowflake
JP130397,Statistics
JP130397,ETL
JP130397,Git
JP109200,SQL
JP109200,Python
JP109200,Power BI
JP109200,Snowflake
JP109200,Spark
JP109200,MLOps
JP109200,Statistics
JP128223,SQL
JP128223,Python
JP128223,Excel
JP128223,Tableau
JP128223,R
JP105386,SQL
JP105386,Python
JP105386,Excel
JP105386,Power BI
JP105386,Tableau
JP105386,Snowflake
JP105386,Spark
JP105386,dbt
JP124027,Python
JP124027,Databricks
JP124027,Data Modelling
JP124027,Git
JP116834,SQL
JP116834,Excel
JP116834,Machine Learning
JP120038,SQL
JP120038,Python
JP120038,Excel
JP120038,Power BI
JP120038,R
JP120038,Azure
JP120038,AWS
JP120038,LLMs
JP120038,MLOps
JP120459,SQL
JP120459,Python
JP120459,Power BI
JP120459,Databricks
JP120459,Machine Learning
JP120459,ETL
JP138789,SQL
JP138789,Python
JP138789,Power BI
JP138789,Azure
JP138789,AWS
JP138789,Snowflake
JP138789,Databricks
JP138789,Spark
JP138789,Machine Learning
JP138789,RAG
JP138789,ETL
JP109802,SQL
JP109802,Python
JP109802,Excel
JP109802,Tableau
JP109802,Azure
JP109802,AWS
JP109802,Databricks
JP109802,Machine Learning
JP109802,GenAI
JP109802,RAG
JP109802,MLOps
JP109802,A/B Testing
JP109802,ETL
JP109802,Git
JP131472,Excel
JP131472,Tableau
JP131472,LLMs
JP131472,MLOps
JP131472,Data Modelling
JP119104,SQL
JP119104,Python
JP119104,Power BI
JP119104,Airflow
JP116748,SQL
JP116748,Power BI
JP116748,Spark
JP116748,dbt
JP116748,Airflow
JP116748,LLMs
JP139356,Power BI
JP139356,Azure
JP139356,Machine Learning
JP139356,MLOps
JP127459,SQL
JP127459,Power BI
JP127459,Tableau
JP127459,Statistics
JP127459,ETL
JP110952,SQL
JP110952,Python
JP110952,Excel
JP110952,Tableau
JP110952,Azure
JP110952,Statistics
JP110952,ETL
JP110952,Git
JP126800,SQL
JP126800,Excel
JP126800,Tableau
JP126800,AWS
JP126800,Machine Learning
JP126800,LLMs
JP126800,RAG
JP126800,MLOps
JP126800,Statistics
JP111173,SQL
JP111173,Python
JP111173,Excel
JP111173,R
JP120730,SQL
JP120730,Python
JP120730,Azure
JP120730,RAG
JP120730,MLOps
JP108858,SQL
JP108858,Python
JP108858,Excel
JP108858,Power BI
JP108858,Tableau
JP108858,AWS
JP108858,dbt
JP108858,Prompt Engineering
JP108858,Data Modelling
JP107415,SQL
JP107415,Azure
JP107415,AWS
JP107415,Databricks
JP107415,Statistics
JP139861,Power BI
JP139861,Tableau
JP139861,R
JP139861,Snowflake
JP139861,Spark
JP139861,MLOps
JP139861,Data Modelling
JP139861,Git
JP122694,SQL
JP122694,Python
JP122694,Spark
JP122694,Machine Learning
JP122694,GenAI
JP122694,MLOps
JP122694,Data Modelling
JP110854,SQL
JP110854,AWS
JP110854,Machine Learning
JP110854,LLMs
JP110854,GenAI
JP110854,Prompt Engineering
JP110854,MLOps
JP110854,Statistics
JP111724,SQL
JP111724,Python
JP111724,Excel
JP111724,Tableau
JP111724,Data Modelling
JP111724,ETL
JP124166,SQL
JP124166,Excel
JP124166,Power BI
JP124166,Tableau
JP124166,Snowflake
JP124166,Spark
JP124166,Machine Learning
JP124166,ETL
JP124166,Git
JP119922,SQL
JP119922,Python
JP119922,Excel
JP119922,Snowflake
JP119922,Data Modelling
JP133481,Python
JP133481,Power BI
JP133481,Azure
JP133481,dbt
JP133481,ETL
JP102910,SQL
JP102910,Python
JP102910,Excel
JP102910,Tableau
JP102910,Airflow
JP102910,Machine Learning
JP102910,ETL
JP102910,Git
JP107374,SQL
JP107374,Python
JP107374,Excel
JP107374,Power BI
JP107374,Spark
JP127975,SQL
JP127975,Excel
JP127975,GenAI
JP113530,SQL
JP113530,Python
JP113530,AWS
JP113530,dbt
JP113530,Airflow
JP113530,MLOps
JP135348,SQL
JP135348,Excel
JP135348,Tableau
JP135348,AWS
JP135348,Machine Learning
JP135348,A/B Testing
JP135348,Data Modelling
JP139292,SQL
JP139292,Excel
JP139292,Azure
JP139292,dbt
JP139292,Machine Learning
JP139292,LLMs
JP139292,GenAI
JP139292,RAG
JP139292,Prompt Engineering
JP139292,Git
JP115998,SQL
JP115998,Python
JP115998,Excel
JP115998,Azure
JP115998,Snowflake
JP115998,Spark
JP115998,Airflow
JP115998,Machine Learning
JP115998,LLMs
JP115998,RAG
JP115998,Prompt Engineering
JP107039,Python
JP107039,Excel
JP107039,AWS
JP107039,Machine Learning
JP107039,LLMs
JP107039,GenAI
JP107039,ETL
JP103915,SQL
JP103915,Python
JP103915,Excel
JP103915,Power BI
JP103915,Tableau
JP103915,GenAI
JP103915,A/B Testing
JP103915,Data Modelling
JP103915,ETL
JP118134,SQL
JP118134,Python
JP118134,Excel
JP118134,Power BI
JP118134,Tableau
JP118134,Machine Learning
JP118134,A/B Testing
JP128593,SQL
JP128593,Python
JP128593,Power BI
JP128593,Azure
JP128593,LLMs
JP128593,Statistics
JP128593,Data Modelling
JP139661,SQL
JP139661,Python
JP139661,Azure
JP139661,Snowflake
JP139661,Airflow
JP139661,LLMs
JP139661,Git
JP136767,SQL
JP136767,Python
JP136767,Azure
JP136767,Spark
JP136767,Machine Learning
JP136767,LLMs
JP136767,MLOps
JP120994,Python
JP120994,Data Modelling
